official_json_row_1based,group,fig,control,shift,condition,channel,direction,status_in,data1_in,status_out,data1_out,decoded_actions,implementation,finding
13,BROWSER,B2-L B2-R,BACK,,,7,IN,96,65,,,back,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
14,BROWSER,B2-L B2-R,BACK,+SHIFT,,7,IN,96,66,,,browseView,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
15,BROWSER,B3-L B3-R,VIEW,,,7,IN,96,7A,,,browseView,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
16,BROWSER,B3-L B3-R,VIEW,LONG,,7,IN,96,67,,,,未デコード,公式入力を渡してもアクションなし。
17,BROWSER,B3-L B3-R,VIEW,+SHIFT,,7,IN,96,68,,,related,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
18,DECK,D1-L D1-R,PLAY/PAUSE,,,1/2/3/4,IN/OUT,9n,0B,9n,0B,play,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
19,DECK,D1-L D1-R,PLAY/PAUSE,+SHIFT,,1/2/3/4,IN/OUT,9n,47,9n,47,play,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
20,DECK,D2-L D2-R,CUE,,,1/2/3/4,IN/OUT,9n,0C,9n,0C,cue,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
21,DECK,D2-L D2-R,CUE,+SHIFT,,1/2/3/4,IN/OUT,9n,48,9n,48,start,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
22,DECK,D3-L D3-R,JOG (Platter),,Vinyl On,1/2/3/4,IN,Bn,22,,,jog,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
23,DECK,D3-L D3-R,JOG (Platter),,Vinyl Off,1/2/3/4,IN,Bn,23,,,jog,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
24,DECK,D3-L D3-R,JOG (Platter),+SEARCH,,1/2/3/4,IN,Bn,29,,,searchJog,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
25,DECK,D3-L D3-R,JOG (Platter),+SHIFT,,1/2/3/4,IN,Bn,1F,,,jog,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
26,DECK,D3-L D3-R,JOG (Platter),,,1/2/3/4,IN,9n,36,,,touch,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
27,DECK,D3-L D3-R,JOG (Platter),+SHIFT,,1/2/3/4,IN,9n,67,,,touch,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
28,DECK,D3-L D3-R,JOG (Platter),,,1/2/3/4,IN,Bn,21,,,nudge,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
29,DECK,D3-L D3-R,JOG (Platter),+SHIFT,,1/2/3/4,IN,Bn,26,,,searchJog,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
30,DECK,D4-L D4-R,Tempo,,,1/2/3/4,IN,Bn,00 20,,,tempo,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
31,DECK,D4-L D4-R,Tempo,+SHIFT,,1/2/3/4,IN,Bn,05 25,,,tempo,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
32,DECK,D5-L D5-R,MASTER TEMPO,,,1/2/3/4,IN/OUT,9n,1A,9n,1A,keylock,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
33,DECK,D5-L D5-R,MASTER TEMPO,+SHIFT,,1/2/3/4,IN/OUT,9n,60,9n,60,tempoRange,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
34,DECK,D6-L,DECK SELECT 1/3,,DECK 3,1,IN,92,72,,,deckSelect,原典矛盾・部分,押下deckのactivateのみ。原典の72 status矛盾は実機で未確定、切替先1/3・2/4を区別する動作なし。
35,DECK,D6-L,DECK SELECT 1/3,,DECK 1,3,IN,92,72,,,deckSelect,原典矛盾・部分,押下deckのactivateのみ。原典の72 status矛盾は実機で未確定、切替先1/3・2/4を区別する動作なし。
36,DECK,D6-R,DECK SELECT 2/4,,DECK 4,2,IN,93,72,,,deckSelect,原典矛盾・部分,押下deckのactivateのみ。原典の72 status矛盾は実機で未確定、切替先1/3・2/4を区別する動作なし。
37,DECK,D6-R,DECK SELECT 2/4,,DECK 2,4,IN,93,72,,,deckSelect,原典矛盾・部分,押下deckのactivateのみ。原典の72 status矛盾は実機で未確定、切替先1/3・2/4を区別する動作なし。
38,DECK,D7-L D7-R,BEAT SYNC,,,1/2/3/4,IN/OUT,9n,58,9n,58,sync,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
39,DECK,D7-L D7-R,BEAT SYNC,+SHIFT,,1/2/3/4,IN/OUT,9n,5C,9n,5C,master,部分実装,他のsync有効deckにleader指定後、自deckをsync無効にする。独立したmaster選択状態を持たない。
40,DECK,D8-L D8-R,KEY SYNC,,,1/2/3/4,IN/OUT,9n,65,9n,65,,未デコード,公式入力を渡してもアクションなし。
41,DECK,D8-L D8-R,KEY SYNC,+SHIFT,,1/2/3/4,IN/OUT,9n,1C,9n,1C,,未デコード,公式入力を渡してもアクションなし。
42,DECK,D9-L D9-R,KEY RESET,,,1/2/3/4,IN,9n,64,,,,未デコード,公式入力を渡してもアクションなし。
43,DECK,D9-L D9-R,KEY RESET,+SHIFT,,1/2/3/4,IN,9n,1F,,,,未デコード,公式入力を渡してもアクションなし。
44,DECK,D10-L D10-R,LOOP IN,,,1/2/3/4,IN/OUT,9n,10,9n,10,loopIn,部分実装,ループ開始/終了の指定のみ。既存ループ境界をジョグで調整する状態なし。
45,DECK,D10-L D10-R,LOOP IN,+SHIFT,,1/2/3/4,IN/OUT,9n,4C,9n,4C,,未デコード,公式入力を渡してもアクションなし。
46,DECK,D11-L D11-R,LOOP OUT,,,1/2/3/4,IN/OUT,9n,11,9n,11,loopOut,部分実装,ループ開始/終了の指定のみ。既存ループ境界をジョグで調整する状態なし。
47,DECK,D11-L D11-R,LOOP OUT,+SHIFT,,1/2/3/4,IN/OUT,9n,4D,9n,4D,reloop,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
48,DECK,D12-L D12-R,4 BEAT LOOP/EXIT,,,1/2/3/4,IN/OUT,9n,14,9n,14,loop,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
49,DECK,D12-L D12-R,4 BEAT LOOP/EXIT,+SHIFT,,1/2/3/4,IN/OUT,9n,50,9n,50,reloop,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
50,DECK,D13-L D13-R,QUANTIZE,,,1/2/3/4,IN/OUT,9n,35,9n,35,quantize,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
51,DECK,D13-L D13-R,QUANTIZE,+SHIFT,,1/2/3/4,IN/OUT,9n,39,9n,39,,未デコード,公式入力を渡してもアクションなし。
52,DECK,D14-L D14-R,SLIP,,,1/2/3/4,IN/OUT,9n,40,9n,40,slip,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
53,DECK,D14-L D14-R,SLIP,+SHIFT,,1/2/3/4,IN/OUT,9n,17,9n,17,vinyl,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
54,DECK,D15-L D15-R,SLIP REVERSE,,,1/2/3/4,IN/OUT,9n,15,9n,15,slipReverse,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
55,DECK,D15-L D15-R,SLIP REVERSE,+SHIFT,,1/2/3/4,IN/OUT,9n,38,9n,38,reverse,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
56,DECK,D16-L D16-R,SEARCH ◀◀,,,1/2/3/4,IN,9n,5E,,,previous,代替動作,SEARCH通常押下をライブラリの前/次行選択に割当。資料上のSEARCH操作との同等性は未確認。
57,DECK,D16-L D16-R,SEARCH ◀◀,LONG,,1/2/3/4,IN,9n,70,,,searchBack,部分実装,LONG Noteの押下で5秒seek。保持中の反復探索タイマーなし。
58,DECK,D16-L D16-R,SEARCH ◀◀,+SHIFT,,1/2/3/4,IN,9n,51,,,cuePrevious,代替動作,MEMORY CUEではなくhotCues配列をソートして移動。
59,DECK,D17-L D17-R,SEARCH ▶▶,,,1/2/3/4,IN,9n,5F,,,next,代替動作,SEARCH通常押下をライブラリの前/次行選択に割当。資料上のSEARCH操作との同等性は未確認。
60,DECK,D17-L D17-R,SEARCH ▶▶,LONG,,1/2/3/4,IN,9n,71,,,searchForward,部分実装,LONG Noteの押下で5秒seek。保持中の反復探索タイマーなし。
61,DECK,D17-L D17-R,SEARCH ▶▶,+SHIFT,,1/2/3/4,IN,9n,53,,,cueNext,代替動作,MEMORY CUEではなくhotCues配列をソートして移動。
62,DECK,D18-L D18-R,MEMORY,,,1/2/3/4,IN,9n,3D,,,,未デコード,公式入力を渡してもアクションなし。
63,DECK,D18-L D18-R,MEMORY,+SHIFT,,1/2/3/4,IN,9n,3E,,,,未デコード,公式入力を渡してもアクションなし。
64,DECK,D19-L D19-R,SHIFT,,,1/2/3/4,IN,9n,3F,,,shift,修飾状態あり,held状態保持。SHIFT単独の音声操作は不要。
65,MIXER,M1,CROSSFADER,,,7,IN,B6,1F 3F,,,crossfader,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
66,MIXER,M2-1 M2-2 M2-3 M2-4,CH FADER,,,1/2/3/4,IN,Bn,13 33,,,gain,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
67,MIXER,M1 M2-1 M2-2 M2-3 M2-4,CROSS FADER / CH FADER (Fader Start),+SHIFT,Zero → not Zero,1/2/3/4,IN,9n,66,,,,未デコード,公式入力を渡してもアクションなし。
68,MIXER,M1 M2-1 M2-2 M2-3 M2-4,CROSS FADER / CH FADER (Fader Start),+SHIFT,Not Zero → Zero,1/2/3/4,IN,9n,52,,,,未デコード,公式入力を渡してもアクションなし。
69,MIXER,M3-1 M3-2 M3-3 M3-4,GAIN (TRIM),,,1/2/3/4,IN,Bn,04 24,,,trim,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
70,MIXER,M4-1 M4-2 M4-3 M4-4,EQ HI,,,1/2/3/4,IN,Bn,07 27,,,eqHigh,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
71,MIXER,M5-1 M5-2 M5-3 M5-4,EQ MID,,,1/2/3/4,IN,Bn,0B 2B,,,eqMid,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
72,MIXER,M6-1 M6-2 M6-3 M6-4,EQ LOW,,,1/2/3/4,IN,Bn,0F 2F,,,eqLow,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
73,MIXER,M7-1 M7-2 M7-3 M7-4,CUE (Headphone),,,1/2/3/4,IN/OUT,9n,54,9n,54,pfl,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
74,MIXER,M7-1 M7-2 M7-3 M7-4,CUE (Headphone),+SHIFT,,1/2/3/4,IN/OUT,9n,68,9n,68,,未デコード,公式入力を渡してもアクションなし。
75,MIXER,M8,MASTER LEVEL,,,7,IN,B6,08 28,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
76,MIXER,M9,MASTER CUE,,,7,IN/OUT,96,63,9n,63,hardwareMasterCue,受信のみ・本体処理区分,runtimeに適用処理なし。本体CUE動作は別途実測。
77,MIXER,M9,MASTER CUE,+SHIFT,,7,IN/OUT,96,62,9n,62,hardwareMasterCue,受信のみ・本体処理区分,runtimeに適用処理なし。本体CUE動作は別途実測。
78,MIXER,M10,BOOTH LEVEL,,,7,IN,B6,09 29,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
79,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to A,1/2/3/4,IN,9n,16,,,assignLeft,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
80,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to A,1/2/3/4,IN,9n,18/1D,,,assignRight / assignThru,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
81,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to THRU,1/2/3/4,IN,9n,1D,,,assignThru,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
82,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to THRU,1/2/3/4,IN,9n,16/18,,,assignLeft / assignRight,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
83,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to B,1/2/3/4,IN,9n,18,,,assignRight,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
84,MIXER,M11-1 M11-2 M11-3 M11-4,CRF ASSIGN,,Switch to B,1/2/3/4,IN,9n,16/1D,,,assignLeft / assignThru,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
85,MIXER,M12,HEADPHONES MIXING,,,7,IN,B6,0C 2C,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
86,MIXER,M13,HEADPHONES LEVEL,,,7,IN,B6,0D 2D,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
87,MIXER,M14,MIC EQ HI,,,7,IN,B6,07 27,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
88,MIXER,M15,MIC EQ LOW,,,7,IN,B6,0F 2F,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
89,MIXER,M16-1 M16-2,LINE/PHONO SW,,,3/4,IN,9n,46,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
90,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to USB A,1/2/3/4,IN,9n,55,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
91,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to USB A,1/2/3/4,IN,9n,56/57,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
92,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to LINE or PHONO/LINE,1/2/3/4,IN,9n,56,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
93,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to LINE or PHONO/LINE,1/2/3/4,IN,9n,55/57,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
94,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to USB B,1/2/3/4,IN,9n,57,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
95,MIXER,M17-1 M17-2 M17-3 M17-4,INPUT SELECT,,Switch to USB B,1/2/3/4,IN,9n,55/56,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
96,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to OFF,7,IN,96,6A,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
97,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to OFF,7,IN,96,6B/6C,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
98,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to ON,7,IN,96,6B,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
99,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to ON,7,IN,96,6A/6C,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
100,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to TALK OVER,7,IN,96,6C,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
101,MIXER,M18,MIC OFF/ON /TALKOVER,,Switch to TALK OVER,7,IN,96,6A/6B,,,,未デコード・本体処理区分,ソフト連携なし。本体で処理する可能性があり、音声経路の実測なしに二重適用しない。
102,MIXER,M19,SAMPLER CUE,,,7,IN/OUT,96,69,9n,69,,未デコード,公式入力を渡してもアクションなし。
103,MIXER,M19,SAMPLER CUE,+SHIFT,,7,IN/OUT,96,6E,9n,6E,,未デコード,公式入力を渡してもアクションなし。
104,MIXER,M20,SAMPLER VOL,,,7,IN,B6,03 23,,,,未デコード,公式入力を渡してもアクションなし。
105,EFFECT,F1-1 F1-2 F1-3 F1-4,COLOR FX Parameter (CH1),,,7,IN,B6,17 37,,,filterA,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
106,EFFECT,F1-1 F1-2 F1-3 F1-4,COLOR FX Parameter (CH2),,,7,IN,B6,18 38,,,filterB,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
107,EFFECT,F1-1 F1-2 F1-3 F1-4,COLOR FX Parameter (CH3),,,7,IN,B6,19 39,,,filterC,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
108,EFFECT,F1-1 F1-2 F1-3 F1-4,COLOR FX Parameter (CH4),,,7,IN,B6,1A 3A,,,filterD,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
109,EFFECT,F2,COLOR FX (D-ECHO),,,7,IN,96,00,,,colorSelect,未実装通知のみ,FILTERのみ。他3種は無効化し未対応通知。
110,EFFECT,F2,COLOR FX (D-ECHO),+SHIFT,,7,IN,96,08,,,,未デコード,公式入力を渡してもアクションなし。
111,EFFECT,F3,COLOR FX (PITCH),,,7,IN,96,01,,,colorSelect,未実装通知のみ,FILTERのみ。他3種は無効化し未対応通知。
112,EFFECT,F3,COLOR FX (PITCH),+SHIFT,,7,IN,96,09,,,,未デコード,公式入力を渡してもアクションなし。
113,EFFECT,F4,COLOR FX (NOISE),,,7,IN,96,02,,,colorSelect,未実装通知のみ,FILTERのみ。他3種は無効化し未対応通知。
114,EFFECT,F4,COLOR FX (NOISE),+SHIFT,,7,IN,96,0A,,,,未デコード,公式入力を渡してもアクションなし。
115,EFFECT,F5,COLOR FX (FILTER),,,7,IN,96,03,,,colorSelect,動作経路あり,FILTERのみ。他3種は無効化し未対応通知。
116,EFFECT,F5,COLOR FX (FILTER),+SHIFT,,7,IN,96,0B,,,,未デコード,公式入力を渡してもアクションなし。
117,EFFECT,F6,BEAT ◀,,,5,IN/OUT,94,4A,9n,4A,,未デコード,公式入力を渡してもアクションなし。
118,EFFECT,F6,BEAT ◀,+SHIFT,,5,IN/OUT,94,66,9n,66,,未デコード,公式入力を渡してもアクションなし。
119,EFFECT,F7,BEAT ▶,,,5,IN/OUT,94,4B,9n,4B,,未デコード,公式入力を渡してもアクションなし。
120,EFFECT,F7,BEAT ▶,+SHIFT,,5,IN/OUT,94,6B,9n,6B,,未デコード,公式入力を渡してもアクションなし。
121,EFFECT,F8,FX SELECT (LOW CUT ECHO),,,5,IN,94,20,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
122,EFFECT,F8,FX SELECT (ECHO),,,5,IN,94,21,,,fxSelect,動作経路あり,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
123,EFFECT,F8,FX SELECT (MT DELAY),,,5,IN,94,22,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
124,EFFECT,F8,FX SELECT (SPIRAL),,,5,IN,94,23,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
125,EFFECT,F8,FX SELECT (REVERB),,,5,IN,94,24,,,fxSelect,動作経路あり,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
126,EFFECT,F8,FX SELECT (TRANS),,,5,IN,94,25,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
127,EFFECT,F8,FX SELECT (ENIGMA JET),,,5,IN,94,26,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
128,EFFECT,F8,FX SELECT (FLANGER),,,5,IN,94,27,,,fxSelect,動作経路あり,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
129,EFFECT,F8,FX SELECT (PHASER),,,5,IN,94,28,,,fxSelect,動作経路あり,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
130,EFFECT,F8,FX SELECT (PITCH),,,5,IN,94,29,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
131,EFFECT,F8,FX SELECT (SLPI ROLL),,,5,IN,94,2A,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
132,EFFECT,F8,FX SELECT (ROLL),,,5,IN,94,2B,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
133,EFFECT,F8,FX SELECT (MOBIUS SAW),,,5,IN,94,2C,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
134,EFFECT,F8,FX SELECT (MOBIUS TRI),,,5,IN,94,2D,,,fxSelect,未実装通知のみ,ECHO/REVERB/FLANGER/PHASERのみ。残り10種はfxEffect=nullで未対応通知。
135,EFFECT,F9,CH SELECT (CH1),,,5,IN,94,10,,,fxAssign,動作経路あり,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
136,EFFECT,F9,CH SELECT (CH2),,,5,IN,94,11,,,fxAssign,動作経路あり,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
137,EFFECT,F9,CH SELECT (CH3),,,5,IN,94,12,,,fxAssign,動作経路あり,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
138,EFFECT,F9,CH SELECT (CH4),,,5,IN,94,13,,,fxAssign,動作経路あり,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
139,EFFECT,F9,CH SELECT (MASTER),,,5,IN,94,14,,,fxAssign,部分実装,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
140,EFFECT,F9,CH SELECT (MIC),,,5,IN,94,15,,,fxAssign,未実装通知のみ,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
141,EFFECT,F9,CH SELECT (SAMPLER),,,5,IN,94,16,,,fxAssign,未実装通知のみ,MIC/SAMPLER割当は未対応。MASTERは各ロード済みデッキに個別FX適用で、合算後のmaster bus FXではない。
142,EFFECT,F10,LEVEL/DEPTH,,,5,IN,B4,02 22,,,fxMix,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
